Category,Country,Customer Name,Discount,Order Date,Order ID,Product Name,Region,Returned,Segment,Ship Date,Ship Mode,State,Sub-Category,Order_Product_Count,Profit,Quantity,Sales
Furniture,United States,Natalie DeCherney,0%,13/01/2013,CA-2011-109232,Global Highback Leather Tilter in Burgundy,South,,Consumer,16/01/2013,Second Class,South Carolina,Chairs,1,$87,6,545.94
Furniture,United States,Brian Dahlen,15%,13/01/2013,CA-2011-157147,"O'Sullivan Elevations Bookcase, Cherry Finish",West,,Consumer,18/01/2013,Standard Class,California,Bookcases,1,$4,3,333.999
Office Supplies,United States,Michael Moore,70%,13/01/2013,CA-2011-118192,Avery Metallic Poly Binders,East,,Consumer,18/01/2013,Standard Class,Ohio,Binders,1,-$3,2,3.438
Office Supplies,United States,Michael Moore,20%,13/01/2013,CA-2011-118192,Xerox 1923,East,,Consumer,18/01/2013,Standard Class,Ohio,Paper,1,$13,7,37.408
Office Supplies,United States,Brian Dahlen,0%,13/01/2013,CA-2011-157147,4009 Highlighters by Sanford,West,,Consumer,18/01/2013,Standard Class,California,Art,1,$7,5,19.9
Office Supplies,United States,Brian Dahlen,0%,13/01/2013,CA-2011-157147,Tennsco 6- and 18-Compartment Lockers,West,,Consumer,18/01/2013,Standard Class,California,Storage,1,$239,5,1325.85
Furniture,United States,Brendan Sweed,50%,14/01/2013,CA-2011-149524,Sauder Cornerstone Collection Library,East,,Corporate,15/01/2013,First Class,Pennsylvania,Bookcases,1,-$53,4,61.96
Technology,United States,Erica Hackney,0%,15/01/2013,CA-2011-103366,Logitech 910-002974 M325 Wireless Mouse for Web Scrolling,South,,Consumer,17/01/2013,First Class,Georgia,Accessories,1,$66,5,149.95
Furniture,United States,Delfina Latchford,20%,16/01/2013,CA-2011-115791,DAX Black Cherry Wood-Tone Poster Frame,East,,Consumer,18/01/2013,Second Class,Pennsylvania,Furnishings,1,$29,6,127.104
Office Supplies,United States,Delfina Latchford,70%,16/01/2013,CA-2011-115791,GBC Linen Binding Covers,East,,Consumer,18/01/2013,Second Class,Pennsylvania,Binders,1,-$14,2,18.588
Office Supplies,United States,Delfina Latchford,20%,16/01/2013,CA-2011-115791,Round Specialty Laser Printer Labels,East,,Consumer,18/01/2013,Second Class,Pennsylvania,Labels,1,$10,3,30.072
Technology,United States,Delfina Latchford,40%,16/01/2013,CA-2011-115791,AT&T 841000 Phone,East,,Consumer,18/01/2013,Second Class,Pennsylvania,Phones,1,-$31,3,124.2
Office Supplies,United States,David Wiener,20%,18/01/2013,CA-2011-123477,Fellowes Mighty 8 Compact Surge Protector,West,,Corporate,21/01/2013,Second Class,Oregon,Appliances,1,$6,4,64.864
Furniture,United States,Toby Swindell,70%,19/01/2013,CA-2011-146591,O'Sullivan 4-Shelf Bookcase in Odessa Pine,West,,Consumer,20/01/2013,First Class,Arizona,Bookcases,1,-$321,5,181.47
Office Supplies,United States,Toby Swindell,70%,19/01/2013,CA-2011-146591,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",West,,Consumer,20/01/2013,First Class,Arizona,Binders,1,-$24,10,32.34
Office Supplies,United States,Toby Swindell,20%,19/01/2013,CA-2011-146591,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",West,,Consumer,20/01/2013,First Class,Arizona,Envelopes,1,$37,5,108.72
Office Supplies,United States,Toby Swindell,20%,19/01/2013,CA-2011-146591,"TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page",West,,Consumer,20/01/2013,First Class,Arizona,Paper,1,$20,4,56.064
Furniture,United States,Mark Van Huff,0%,20/01/2013,CA-2011-148614,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",West,Yes,Consumer,25/01/2013,Standard Class,California,Furnishings,1,$6,2,19.3
Office Supplies,United States,Mark Van Huff,0%,20/01/2013,CA-2011-148614,"Wirebound Service Call Books, 5 1/2"" x 4""",West,Yes,Consumer,25/01/2013,Standard Class,California,Paper,1,$9,2,19.36
Furniture,United States,Xylona Preis,0%,20/01/2013,CA-2011-167927,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,Central,,Consumer,26/01/2013,Standard Class,Michigan,Furnishings,1,$30,3,272.94
Furniture,United States,Xylona Preis,0%,20/01/2013,CA-2011-167927,Ultra Door Push Plate,Central,,Consumer,26/01/2013,Standard Class,Michigan,Furnishings,1,$5,3,14.73
Furniture,United States,Hunter Lopez,0%,20/01/2013,US-2011-147627,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,South,,Consumer,26/01/2013,Standard Class,Arkansas,Chairs,1,$224,3,1067.94
Furniture,United States,Hunter Lopez,0%,20/01/2013,US-2011-147627,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",South,,Consumer,26/01/2013,Standard Class,Arkansas,Furnishings,1,$12,4,38.6
Office Supplies,United States,Xylona Preis,10%,20/01/2013,CA-2011-167927,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Central,,Consumer,26/01/2013,Standard Class,Michigan,Appliances,1,$94,4,247.716
Office Supplies,United States,Xylona Preis,0%,20/01/2013,CA-2011-167927,Panasonic KP-4ABK Battery-Operated Pencil Sharpener,Central,,Consumer,26/01/2013,Standard Class,Michigan,Art,1,$13,3,43.92
Office Supplies,United States,Xylona Preis,0%,20/01/2013,CA-2011-167927,"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red",Central,,Consumer,26/01/2013,Standard Class,Michigan,Binders,1,$9,5,19.05
Office Supplies,United States,Xylona Preis,0%,20/01/2013,CA-2011-167927,Storex Dura Pro Binders,Central,,Consumer,26/01/2013,Standard Class,Michigan,Binders,1,$13,5,29.7
Office Supplies,United States,Xylona Preis,0%,20/01/2013,CA-2011-167927,Eldon Fold 'N Roll Cart System,Central,,Consumer,26/01/2013,Standard Class,Michigan,Storage,1,$4,1,13.98
Office Supplies,United States,Xylona Preis,0%,20/01/2013,CA-2011-167927,Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,Central,,Consumer,26/01/2013,Standard Class,Michigan,Storage,1,$16,2,66.58
Office Supplies,United States,Hunter Lopez,0%,20/01/2013,US-2011-147627,Newell 327,South,,Consumer,26/01/2013,Standard Class,Arkansas,Art,1,$2,3,6.63
Office Supplies,United States,Hunter Lopez,0%,20/01/2013,US-2011-147627,Newell 351,South,,Consumer,26/01/2013,Standard Class,Arkansas,Art,1,$7,7,22.96
Office Supplies,United States,Hunter Lopez,0%,20/01/2013,US-2011-147627,Staple envelope,South,,Consumer,26/01/2013,Standard Class,Arkansas,Envelopes,1,$11,3,23.34
Office Supplies,United States,Muhammed MacIntyre,70%,20/01/2013,US-2011-147774,GBC DocuBind TL200 Manual Binding Machine,South,,Corporate,26/01/2013,Standard Class,Tennessee,Binders,1,-$52,1,67.194
Technology,United States,Hunter Lopez,0%,20/01/2013,US-2011-147627,Apple iPhone 5C,South,,Consumer,26/01/2013,Standard Class,Arkansas,Phones,1,$182,7,699.93
Furniture,United States,Tom Boeckenhauer,20%,21/01/2013,CA-2011-110422,Ultra Door Pull Handle,South,,Consumer,23/01/2013,Second Class,Florida,Furnishings,1,$4,3,25.248
Office Supplies,United States,Speros Goranitis,0%,23/01/2013,CA-2011-146997,"Alliance Big Bands Rubber Bands, 12/Pack",Central,,Consumer,27/01/2013,Standard Class,Indiana,Fasteners,1,$0,3,5.94
Office Supplies,United States,Ionia McGrath,0%,23/01/2013,CA-2011-102645,Xerox 195,West,,Consumer,28/01/2013,Standard Class,Nevada,Paper,1,$19,6,40.08
Furniture,United States,Carol Adams,0%,26/01/2013,CA-2011-167997,"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",Central,,Corporate,29/01/2013,First Class,South Dakota,Bookcases,1,$40,2,141.96
Office Supplies,United States,Carol Adams,0%,26/01/2013,CA-2011-167997,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,Central,,Corporate,29/01/2013,First Class,South Dakota,Binders,1,$5,2,10.68
Furniture,United States,Shirley Daniels,0%,26/01/2013,US-2011-155502,Eldon Image Series Black Desk Accessories,South,,Home Office,31/01/2013,Standard Class,Virginia,Furnishings,1,$4,3,12.42
Furniture,United States,Shirley Daniels,0%,26/01/2013,US-2011-155502,"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",South,,Home Office,31/01/2013,Standard Class,Virginia,Furnishings,1,$31,3,62.82
Office Supplies,United States,Shirley Daniels,0%,26/01/2013,US-2011-155502,"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream",South,,Home Office,31/01/2013,Standard Class,Virginia,Paper,1,$9,3,19.44
Office Supplies,United States,Shirley Daniels,0%,26/01/2013,US-2011-155502,"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages",South,,Home Office,31/01/2013,Standard Class,Virginia,Paper,1,$8,2,16.68
Office Supplies,United States,Shirley Daniels,0%,26/01/2013,US-2011-155502,"SAFCO Commercial Wire Shelving, 72h",South,,Home Office,31/01/2013,Standard Class,Virginia,Storage,1,$0,8,489.92
Technology,United States,Shirley Daniels,0%,26/01/2013,US-2011-155502,Jabra SPEAK 410,South,,Home Office,31/01/2013,Standard Class,Virginia,Phones,1,$53,2,187.98
Technology,United States,Shirley Daniels,0%,26/01/2013,US-2011-155502,Macally Suction Cup Mount,South,,Home Office,31/01/2013,Standard Class,Virginia,Phones,1,$0,13,155.35
Furniture,United States,Ed Jacobs,20%,27/01/2013,US-2011-117163,Balt Split Level Computer Training Table,West,,Consumer,02/02/2013,Standard Class,California,Tables,1,-$17,3,333
Office Supplies,United States,Ed Jacobs,0%,27/01/2013,US-2011-117163,Dixon Ticonderoga Core-Lock Colored Pencils,West,,Consumer,02/02/2013,Standard Class,California,Art,1,$12,4,36.44
Office Supplies,United States,Ed Jacobs,0%,27/01/2013,US-2011-117163,Recycled Steel Personal File for Hanging File Folders,West,,Consumer,02/02/2013,Standard Class,California,Storage,1,$14,1,57.23
Office Supplies,United States,Jasper Cacioppo,20%,28/01/2013,CA-2011-100328,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",East,,Consumer,03/02/2013,Standard Class,New York,Binders,1,$1,1,3.928
Office Supplies,United States,Mike Vittorini,0%,30/01/2013,CA-2011-134103,Xerox 1972,Central,,Consumer,04/02/2013,Standard Class,Michigan,Paper,1,$5,2,10.56
Office Supplies,United States,Mike Vittorini,0%,30/01/2013,CA-2011-134103,Space Solutions HD Industrial Steel Shelving.,Central,,Consumer,04/02/2013,Standard Class,Michigan,Storage,1,$7,2,229.94
Furniture,United States,Liz Carlisle,15%,31/01/2013,CA-2011-115161,"Sauder Facets Collection Library, Sky Alder Finish",West,,Consumer,02/02/2013,First Class,California,Bookcases,1,$3,2,290.666
Technology,United States,Bradley Drucker,0%,01/02/2013,CA-2011-140795,Enermax Aurora Lite Keyboard,Central,,Consumer,03/02/2013,First Class,Wisconsin,Accessories,1,$206,6,468.9
Office Supplies,United States,Cynthia Delaney,0%,02/02/2013,CA-2011-139857,Staples,West,,Home Office,06/02/2013,Standard Class,California,Fasteners,1,$6,5,12.35
Office Supplies,United States,Eric Barreto,70%,02/02/2013,CA-2011-123400,Surelock Post Binders,South,,Consumer,09/02/2013,Standard Class,Florida,Binders,1,-$12,2,18.336
Technology,United States,Eric Barreto,20%,02/02/2013,CA-2011-123400,AT&T 17929 Lendline Telephone,South,,Consumer,09/02/2013,Standard Class,Florida,Phones,1,$14,5,180.96
Office Supplies,United States,Tom Boeckenhauer,20%,03/02/2013,CA-2011-111059,Avery Durable Poly Binders,West,,Consumer,06/02/2013,Second Class,Washington,Binders,1,$4,3,13.272
Office Supplies,United States,Tom Boeckenhauer,20%,03/02/2013,CA-2011-111059,Ibico Laser Imprintable Binding System Covers,West,,Consumer,06/02/2013,Second Class,Washington,Binders,1,$27,2,83.84
Office Supplies,United States,Mark Haberlin,20%,04/02/2013,CA-2011-104808,"GBC Standard Recycled Report Covers, Clear Plastic Sheets",West,,Corporate,08/02/2013,Second Class,California,Binders,1,$6,2,17.248
Office Supplies,United States,Deborah Brumfield,20%,04/02/2013,CA-2011-107181,GBC Recycled Grain Textured Covers,West,,Home Office,08/02/2013,Standard Class,California,Binders,1,$29,3,82.896
Office Supplies,United States,Deborah Brumfield,0%,04/02/2013,CA-2011-107181,"Message Book, Standard Line ""While You Were Out"", 5 1/2"" X 4"", 200 Sets/Book",West,,Home Office,08/02/2013,Standard Class,California,Paper,1,$16,4,34.24
Office Supplies,United States,Neil Ducich,0%,06/02/2013,CA-2011-131905,Avery 480,South,,Corporate,09/02/2013,First Class,Virginia,Labels,1,$7,4,15
Technology,United States,Neil Ducich,0%,06/02/2013,CA-2011-131905,Aastra 57i VoIP phone,South,,Corporate,09/02/2013,First Class,Virginia,Phones,1,$42,1,161.61
Technology,United States,Neil Ducich,0%,06/02/2013,CA-2011-131905,AT&T CL82213,South,,Corporate,09/02/2013,First Class,Virginia,Phones,1,$42,5,144.95
Office Supplies,United States,Delfina Latchford,80%,06/02/2013,CA-2011-108182,"Avery Flip-Chart Easel Binder, Black",Central,,Consumer,10/02/2013,Second Class,Illinois,Binders,1,-$15,2,8.952
Office Supplies,United States,Chris Selesnick,0%,07/02/2013,US-2011-169390,Acco Perma 4000 Stacking Storage Drawers,East,,Corporate,10/02/2013,Second Class,New York,Storage,1,$10,4,64.96
Technology,United States,Cyma Kinney,0%,07/02/2013,CA-2011-107755,Maxell DVD-RAM Discs,East,,Corporate,12/02/2013,Standard Class,New Jersey,Accessories,1,$50,7,115.36
Furniture,United States,Nathan Mautz,0%,08/02/2013,CA-2011-125759,"Master Caster Door Stop, Large Brown",West,,Home Office,09/02/2013,First Class,Nevada,Furnishings,1,$6,2,14.56
Furniture,United States,Guy Armstrong,0%,11/02/2013,CA-2011-168368,"Global Value Mid-Back Manager's Chair, Gray",Central,,Consumer,15/02/2013,Second Class,Missouri,Chairs,1,$15,1,60.89
Furniture,United States,Guy Armstrong,0%,11/02/2013,CA-2011-168368,"Rubbermaid ClusterMat Chairmats, Mat Size- 66"" x 60"", Lip 20"" x 11"" -90 Degree Angle",Central,,Consumer,15/02/2013,Second Class,Missouri,Furnishings,1,$53,3,332.94
Furniture,United States,Natalie Fritzler,0%,11/02/2013,CA-2011-127614,Hon 2111 Invitation Series Corner Table,South,,Consumer,15/02/2013,Standard Class,Virginia,Tables,1,$75,6,1256.22
Office Supplies,United States,Guy Armstrong,0%,11/02/2013,CA-2011-168368,VariCap6 Expandable Binder,Central,,Consumer,15/02/2013,Second Class,Missouri,Binders,1,$24,3,51.9
Office Supplies,United States,Guy Armstrong,0%,11/02/2013,CA-2011-168368,Wilson Jones Turn Tabs Binder Tool for Ring Binders,Central,,Consumer,15/02/2013,Second Class,Missouri,Binders,1,$4,2,9.64
Office Supplies,United States,Guy Armstrong,0%,11/02/2013,CA-2011-168368,Avery 483,Central,,Consumer,15/02/2013,Second Class,Missouri,Labels,1,$7,3,14.94
Office Supplies,United States,Guy Armstrong,0%,11/02/2013,CA-2011-168368,Fellowes Neat Ideas Storage Cubes,Central,,Consumer,15/02/2013,Second Class,Missouri,Storage,1,$3,2,64.96
Office Supplies,United States,Natalie Fritzler,0%,11/02/2013,CA-2011-127614,Wilson Jones Leather-Like Binders with DublLock Round Rings,South,,Consumer,15/02/2013,Standard Class,Virginia,Binders,1,$8,2,17.46
Technology,United States,Natalie Fritzler,0%,11/02/2013,CA-2011-127614,Enermax Aurora Lite Keyboard,South,,Consumer,15/02/2013,Standard Class,Virginia,Accessories,1,$103,3,234.45
Furniture,United States,Sanjit Chand,20%,12/02/2013,US-2011-110674,"Global Geo Office Task Chair, Gray",West,,Consumer,18/02/2013,Standard Class,California,Chairs,1,-$24,2,129.568
Office Supplies,United States,Marina Lichtenstein,0%,14/02/2013,CA-2011-121762,Belkin 8 Outlet Surge Protector,West,,Corporate,18/02/2013,Standard Class,Washington,Appliances,1,$23,2,81.96
Office Supplies,United States,Marina Lichtenstein,0%,14/02/2013,CA-2011-121762,Compact Automatic Electric Letter Opener,West,,Corporate,18/02/2013,Standard Class,Washington,Supplies,1,$5,2,238.62
Technology,United States,Marina Lichtenstein,0%,14/02/2013,CA-2011-121762,Logitech G600 MMO Gaming Mouse,West,,Corporate,18/02/2013,Standard Class,Washington,Accessories,1,$86,3,239.97
Office Supplies,United States,Shui Tom,20%,14/02/2013,CA-2011-107706,"Memo Book, 100 Message Capacity, 5 3/8Ó x 11Ó",Central,,Consumer,19/02/2013,Second Class,Texas,Paper,1,$6,3,16.176
Office Supplies,United States,Barry Franzšsisch,20%,15/02/2013,CA-2011-165568,Pressboard Data Binders by Wilson Jones,West,,Corporate,19/02/2013,Standard Class,Washington,Binders,1,$7,5,21.36
Office Supplies,United States,Michael Nguyen,80%,16/02/2013,CA-2011-122567,"Holmes Cool Mist Humidifier for the Whole House with 8-Gallon Output per Day, Extended Life Filter",Central,,Consumer,21/02/2013,Standard Class,Texas,Appliances,1,-$14,2,7.96
Office Supplies,United States,Michael Nguyen,80%,16/02/2013,CA-2011-122567,Wilson Jones Easy Flow II Sheet Lifters,Central,,Consumer,21/02/2013,Standard Class,Texas,Binders,1,-$2,3,1.08
Office Supplies,United States,Delfina Latchford,20%,17/02/2013,CA-2011-154165,Staples in misc. colors,Central,,Consumer,24/02/2013,Standard Class,Illinois,Art,1,$9,14,54.208
Furniture,United States,Troy Blackwell,60%,18/02/2013,US-2011-165589,"DAX Copper Panel Document Frame, 5 x 7 Size",Central,,Consumer,18/02/2013,Same Day,Texas,Furnishings,1,-$11,5,25.16
Office Supplies,United States,Aaron Bergman,20%,18/02/2013,CA-2011-152905,Akro Stacking Bins,Central,,Consumer,24/02/2013,Standard Class,Texas,Storage,1,-$3,2,12.624
Office Supplies,United States,Steven Roelle,0%,20/02/2013,CA-2011-164903,Xerox 204,West,,Home Office,24/02/2013,Standard Class,California,Paper,1,$6,2,12.96
Furniture,United States,Linda Cazamias,0%,20/02/2013,CA-2011-109491,"Master Caster Door Stop, Brown",Central,,Corporate,26/02/2013,Standard Class,Indiana,Furnishings,1,$7,4,20.32
Technology,United States,Linda Cazamias,0%,20/02/2013,CA-2011-109491,Enermax Briskie RF Wireless Keyboard and Mouse Combo,Central,,Corporate,26/02/2013,Standard Class,Indiana,Accessories,1,$22,3,62.31
Office Supplies,United States,Tamara Manning,80%,21/02/2013,CA-2011-165540,GBC Standard Plastic Binding Systems Combs,Central,,Consumer,25/02/2013,Standard Class,Illinois,Binders,1,-$14,5,8.85
Office Supplies,United States,Sue Ann Reed,0%,22/02/2013,CA-2011-133354,Xerox 220,West,,Consumer,24/02/2013,First Class,California,Paper,1,$9,3,19.44
Office Supplies,United States,Michael Grace,80%,23/02/2013,CA-2011-103744,GBC Plastic Binding Combs,Central,Yes,Home Office,27/02/2013,Standard Class,Texas,Binders,1,-$7,3,4.428
Office Supplies,United States,Michael Grace,20%,23/02/2013,CA-2011-103744,Staple-on labels,Central,Yes,Home Office,27/02/2013,Standard Class,Texas,Labels,1,$2,3,6.936
Office Supplies,United States,Jennifer Halladay,20%,24/02/2013,US-2011-137680,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",West,,Consumer,02/03/2013,Standard Class,Oregon,Paper,1,$11,4,32.896
Office Supplies,United States,Jennifer Halladay,20%,24/02/2013,US-2011-137680,"TOPS 4 x 6 Fluorescent Color Memo Sheets, 500 Sheets per Pack",West,,Consumer,02/03/2013,Standard Class,Oregon,Paper,1,$8,3,22.776
Office Supplies,United States,Joy Smith,20%,27/02/2013,CA-2011-156545,Zebra Zazzle Fluorescent Highlighters,East,,Consumer,03/03/2013,First Class,Ohio,Art,1,$3,4,19.456
Furniture,United States,Shahid Collister,30%,01/03/2013,CA-2011-131009,Harbour Creations Steel Folding Chair,Central,,Consumer,05/03/2013,Standard Class,Texas,Chairs,1,$0,6,362.25
Furniture,United States,Shahid Collister,60%,01/03/2013,CA-2011-131009,DAX Black Cherry Wood-Tone Poster Frame,Central,,Consumer,05/03/2013,Standard Class,Texas,Furnishings,1,-$35,6,63.552
Furniture,United States,Vicky Freymann,30%,01/03/2013,CA-2011-113880,Novimex Swivel Fabric Task Chair,Central,,Home Office,05/03/2013,Standard Class,Illinois,Chairs,1,-$172,6,634.116
Office Supplies,United States,Shahid Collister,20%,01/03/2013,CA-2011-131009,Plymouth Boxed Rubber Bands by Plymouth,Central,,Consumer,05/03/2013,Standard Class,Texas,Fasteners,1,-$4,5,18.84
Office Supplies,United States,Shahid Collister,20%,01/03/2013,CA-2011-131009,Fellowes Bankers Box Recycled Super Stor/Drawer,Central,,Consumer,05/03/2013,Standard Class,Texas,Storage,1,-$23,3,129.552
Office Supplies,United States,Vicky Freymann,20%,01/03/2013,CA-2011-113880,"Black Print Carbonless 8 1/2"" x 8 1/4"" Rapid Memo Book",Central,,Home Office,05/03/2013,Standard Class,Illinois,Paper,1,$6,3,17.472
Technology,United States,Hallie Redmond,0%,01/03/2013,US-2011-143707,Sannysis Cute Owl Design Soft Skin Case Cover for Samsung Galaxy S4,East,,Home Office,05/03/2013,Standard Class,New York,Phones,1,$2,3,5.94
Furniture,United States,Dave Brooks,20%,01/03/2013,CA-2011-104269,Global Deluxe High-Back Manager's Chair,West,,Consumer,06/03/2013,Second Class,Washington,Chairs,1,$51,2,457.568
Furniture,United States,Giulietta Weimer,30%,01/03/2013,CA-2011-168312,Bevis Round Conference Room Tables and Bases,Central,,Consumer,07/03/2013,Standard Class,Texas,Tables,1,-$43,3,376.509
Office Supplies,United States,Giulietta Weimer,20%,01/03/2013,CA-2011-168312,Recycled Steel Personal File for Hanging File Folders,Central,,Consumer,07/03/2013,Standard Class,Texas,Storage,1,$9,3,137.352
Office Supplies,United States,Nicole Hansen,20%,02/03/2013,CA-2011-111157,Xerox 1971,East,,Corporate,06/03/2013,Standard Class,Pennsylvania,Paper,1,$1,1,3.424
Technology,United States,Nicole Hansen,20%,02/03/2013,CA-2011-111157,Hypercom P1300 Pinpad,East,,Corporate,06/03/2013,Standard Class,Pennsylvania,Accessories,1,$32,3,151.2
Office Supplies,United States,Kristina Nunn,0%,02/03/2013,CA-2011-107524,Staple envelope,East,,Home Office,08/03/2013,Standard Class,New York,Envelopes,1,$5,2,11.36
